sample_idx,t_pc_s,segment_id,label,orta_acc_x,orta_acc_y,orta_acc_z,orta_gyro_x,orta_gyro_y,orta_gyro_z,sol_acc_x,sol_acc_y,sol_acc_z,sol_gyro_x,sol_gyro_y,sol_gyro_z,sag_acc_x,sag_acc_y,sag_acc_z,sag_gyro_x,sag_gyro_y,sag_gyro_z
91,3.0828663,1,rest_initial,1.0894,0.7183,9.1602,0.0671,0.0383,0.0056,0.4046,0.2227,9.9647,0.0293,0.0397,0.0096,0.7422,0.0431,9.7659,-0.0133,-0.057,-0.016
92,3.0832054,1,rest_initial,1.0965,0.7207,9.1722,0.0642,0.036,0.0059,0.395,0.2298,9.8952,0.0293,0.0399,0.0184,0.735,0.0575,9.8258,-0.0072,-0.0607,-0.0138
93,3.0835239,1,rest_initial,1.0965,0.7039,9.0884,0.066,0.0354,0.0096,0.3591,0.237,9.8641,0.0314,0.0373,0.013,0.7494,-0.0048,9.7564,-0.0088,-0.0626,-0.0136
94,3.0838263,1,rest_initial,1.1229,0.7183,9.1602,0.0644,0.0399,0.008,0.407,0.2155,9.9168,0.0277,0.0418,0.0165,0.7542,0.0144,9.845,-0.0101,-0.0589,-0.0115
95,3.0841285,1,rest_initial,1.1109,0.6967,9.1411,0.066,0.0354,0.008,0.4118,0.2298,9.9024,0.0301,0.0405,0.0157,0.7374,0.0192,9.8402,-0.0138,-0.0594,-0.0154
96,3.0844367,1,rest_initial,1.1301,0.6847,9.1099,0.0605,0.0394,0.0072,0.4142,0.2203,9.9503,0.032,0.0394,0.0133,0.7542,0.0575,9.8665,-0.0077,-0.0615,-0.016
97,3.0847303,1,rest_initial,1.1061,0.7494,9.2584,0.069,0.0407,0.0077,0.3855,0.2274,9.9575,0.0282,0.0413,0.0146,0.7518,0.0287,9.8066,-0.0141,-0.0594,-0.0144
98,3.0850244,1,rest_initial,1.1349,0.6943,9.1506,0.0644,0.0402,0.0077,0.4142,0.2227,9.9,0.0274,0.0399,0.0154,0.7446,0.0359,9.7971,-0.0136,-0.0621,-0.0123
99,3.0853383,1,rest_initial,1.1253,0.668,9.1291,0.066,0.0402,0.0043,0.3615,0.2346,9.9048,0.0309,0.0381,0.0146,0.7302,0.0263,9.7731,-0.0107,-0.0631,-0.0144
100,3.0856372,1,rest_initial,1.0822,0.6967,9.1195,0.0655,0.0378,0.0053,0.431,0.2011,9.9216,0.0274,0.0373,0.0149,0.7398,-0.0144,9.845,-0.013,-0.0599,-0.0112
101,3.0859305,1,rest_initial,1.0678,0.6728,9.1075,0.066,0.0405,0.0096,0.407,0.2251,9.8833,0.0365,0.0341,0.0123,0.6991,0.0168,9.7659,-0.0133,-0.0623,-0.0144
102,3.0862341,1,rest_initial,1.1277,0.7566,9.1195,0.0626,0.036,0.0056,0.3831,0.237,9.8689,0.0349,0.0365,0.0138,0.7398,0.0335,9.8497,-0.0085,-0.0631,-0.0178
103,3.0865299,1,rest_initial,1.1468,0.7302,9.2488,0.0642,0.0402,0.0051,0.4166,0.2083,10.0126,0.0274,0.0405,0.0133,0.7494,0.0335,10.0078,-0.0077,-0.0605,-0.0168
104,3.0868223,1,rest_initial,1.1325,0.6488,9.1482,0.0639,0.0423,0.0061,0.4046,0.1963,9.8569,0.0304,0.0389,0.0138,0.7494,0.0024,9.7324,-0.0141,-0.0623,-0.0146
105,3.0871299,1,rest_initial,1.1085,0.6728,9.0716,0.0682,0.0397,0.0037,0.4094,0.2346,9.9144,0.0301,0.037,0.0138,0.7733,0.0359,9.8689,-0.013,-0.0597,-0.0146
