sample_idx,t_pc_s,label,omega_ukf_x,omega_ukf_y,omega_ukf_z,omega_raw_avg_x,omega_raw_avg_y,omega_raw_avg_z,omega_orta_x,omega_orta_y,omega_orta_z,omega_sol_x,omega_sol_y,omega_sol_z,omega_sag_x,omega_sag_y,omega_sag_z,alpha_ukf_x,alpha_ukf_y,alpha_ukf_z,innovation_norm
3420,58.2138486,roll_z,-0.139355013191415,-1.80373494933544,-0.0190281764970696,-0.0890155534796824,-0.153753183870466,0.0734450568270279,-0.0980090611863615,-0.158574591312471,0.0772421765530126,-0.0883366651097618,-0.148831947687996,0.0755947220924802,-0.0807009341429239,-0.153853012610929,0.0674982718355908,-0.221241661160951,0.0638551490089122,0.224333350423778,0.43917543111512
3421,58.214102,roll_z,-0.0597952048644834,-1.76323197912488,-0.0617612266720388,0.0053511131869843,-0.105553183870466,0.0227450568270279,-0.00430906118636146,-0.109874591312471,0.0285421765530126,0.00786333489023822,-0.0995319476879963,0.0230947220924802,0.0124990658570761,-0.107253012610929,0.0165982718355908,-0.0886979979269529,0.0739117379371115,0.110995085084482,0.407787049103858
3422,58.2143646,roll_z,-0.0151749203812273,-1.7731121781716,-0.0904959240819475,0.0614511131869843,-0.119153183870466,-0.0125216098396388,0.0590909388136385,-0.118174591312471,-0.0146578234469874,0.0597633348902382,-0.118231947687996,-0.0107052779075198,0.0654990658570761,-0.121053012610929,-0.0122017281644092,-0.0339064728147506,0.0738269595145185,0.157997724752232,0.272372619323238
3423,58.214624,roll_z,-0.00627406602622121,-1.71588588284977,-0.0584865293075424,0.0725511131869843,-0.0438198505371322,0.0294117234936945,0.0779909388136385,-0.0544745913124708,0.0264421765530126,0.0720633348902382,-0.0449319476879963,0.0305947220924802,0.0675990658570761,-0.0320530126109295,0.0311982718355908,-0.0479614789352622,0.0756232853399811,0.195443795249014,0.308721525376518
3424,58.2148786,roll_z,-0.0530881926835887,-1.70022206207262,-0.0470218326145715,0.011817779853651,-0.0232531838704655,0.0388117234936945,0.0159909388136385,-0.0195745913124708,0.0383421765530126,0.0107633348902382,-0.0204319476879963,0.0390947220924802,0.00869906585707613,-0.0297530126109295,0.0389982718355908,-0.145711793102042,0.0757567719718104,0.173859305863444,0.257216560701009
3425,58.215159,roll_z,-0.0950155798398628,-1.67797091253159,-0.0496766330477897,-0.0425155534796824,0.00611348279620115,0.0348117234936945,-0.0394090611863615,0.00972540868752921,0.0362421765530126,-0.0462366651097618,0.00906805231200372,0.0337947220924802,-0.0419009341429239,-0.000453012610929469,0.0343982718355908,-0.186432206583397,0.0763937699062396,0.12445236864445,0.253941059849439
3426,58.2154149,roll_z,-0.124751475301911,-1.70715209428824,-0.05360240302645,-0.080682220146349,-0.0314531838704655,0.0294783901603612,-0.0730090611863615,-0.0273745913124708,0.0311421765530126,-0.0816366651097618,-0.0263319476879963,0.0270947220924802,-0.0874009341429239,-0.0406530126109295,0.0301982718355908,-0.274281717041899,0.0737425351654437,0.136853464863897,0.352142560244818
3427,58.2156736,roll_z,-0.200455658772989,-1.7129669411217,-0.0323289577533314,-0.171582220146349,-0.0383531838704655,0.0550450568270279,-0.167309061186361,-0.0475745913124708,0.0578421765530126,-0.176936665109762,-0.0367319476879963,0.0523947220924802,-0.170500934142924,-0.0307530126109295,0.0548982718355908,-0.297540852046734,0.0723387653413299,0.179578609847151,0.303826999026239
3428,58.2159315,roll_z,-0.180670970494743,-1.58742965141817,-0.0485105072710098,-0.143482220146349,0.128980149462868,0.0394450568270279,-0.153909061186361,0.115925408687529,0.0415421765530126,-0.145236665109762,0.129768052312004,0.0369947220924802,-0.131300934142924,0.141246987389071,0.0397982718355908,-0.142995252882435,0.0734579483869824,0.123640095771206,0.469531166356446
3429,58.2161856,roll_z,-0.0727445152133744,-1.62775992084935,-0.068264794400557,-0.000448886813015706,0.0759801494628678,0.0152783901603612,-0.0168090611863615,0.0901254086875292,0.0181421765530126,0.00116333489023822,0.0748680523120037,0.0137947220924802,0.0142990658570761,0.0629469873890705,0.0138982718355908,0.0427779608327654,0.0721442196403607,0.0589068214917662,0.510196560168845
