sample_idx,t_pc_s,label,omega_ukf_x,omega_ukf_y,omega_ukf_z,omega_raw_avg_x,omega_raw_avg_y,omega_raw_avg_z,alpha_ukf_x,alpha_ukf_y,alpha_ukf_z,innovation_norm
4394,76.0504472,rest_final,0.173176019335154,-9.7226224821736,-0.00744545765339466,0.17317589534926,-9.72262244050224,-0.00744618859095883,2.8761242295989,-0.0116737074953298,4.94645995976558,1.57184585497955
4395,76.0660653,rest_final,0.17411047072846,-9.7237277695258,0.00510831318144711,0.174110794311723,-9.72372768410457,0.00510371298249182,2.77328813333571,-0.0120099220197472,5.05778960331335,1.563821744131
4396,76.082058,rest_final,0.182897320485281,-9.7272799989868,0.000865851443855148,0.18284340115087,-9.72726279073643,0.00074699769099906,2.31872221757726,0.043919660731027,5.02547475740055,1.50114009749011
4397,76.097572,rest_final,0.186963193724835,-9.72866940472993,3.56962179026976e-05,0.186952820532892,-9.72866973381421,3.91256063853468e-05,2.95452251663568,0.0420051921308341,4.98008700229952,1.50245662680504
4398,76.1133592,rest_final,0.187853585491607,-9.72882232842545,0.00569904817712918,0.187824739286079,-9.7288227464766,0.0056579904421846,3.09979326462081,0.0394297821330546,4.86709935877549,1.53060466102795
4399,76.1454588,rest_final,0.258885692568323,-9.73294866865457,-0.0818926299405737,0.258884848282489,-9.73294860748616,-0.08189123923837,3.12662558221654,0.0381414043597175,4.96802544743555,1.52496543125722
4400,76.1611609,rest_final,0.247404748782146,-9.73021866266482,-0.0584285861643188,0.247409554528553,-9.73021875782324,-0.0584372608570999,2.9994190302972,0.0389167717638373,4.82220875553706,1.56222550972666
4401,76.1816936,rest_final,0.25458151354277,-9.72865414334103,-0.0404570708876618,0.254572263136857,-9.72865412601236,-0.0404942971271597,2.73039419842503,0.0402680492564018,4.63246232965859,1.53241748947895
4402,76.1975026,rest_final,0.254201212069325,-9.72635752600816,-0.0324395151415701,0.254214485191746,-9.726358276378,-0.032495745548685,2.50450339215485,0.0474486172722406,4.16101811315571,1.62378620089667
4403,76.2132843,rest_final,0.222248924575193,-9.72850905853155,-0.0388156671233065,0.222252673655069,-9.7285091193085,-0.0388148099861001,2.54016132299515,0.0446812091150724,4.19967861977,1.54672438308156
4404,76.2294121,rest_final,0.270827846540376,-9.73259665916207,-0.177515569739889,0.270827220604363,-9.73259662545849,-0.177513543823232,2.61495219474886,0.0437765190268521,4.29041458603482,1.59451846099601
4405,76.2454097,rest_final,0.254479159685499,-9.72804257871903,-0.137027927488652,0.25448770489512,-9.72804276044813,-0.137041993907093,2.35612378417466,0.0452346076932653,4.09379086735729,1.56958595653437
4406,76.2616007,rest_final,0.259231909164901,-9.73160650944236,-0.113980916624479,0.259219623279507,-9.73160639435025,-0.11402412904286,1.84531723781349,0.0390268811342915,4.33966363058034,1.59409057271811
4407,76.2774917,rest_final,0.272168434209683,-9.73303257739223,-0.10935833323608,0.272167048359896,-9.73303220426795,-0.109359123598212,1.93252007509384,0.0365436108891235,4.52252679526416,1.53496793675357
4408,76.2935547,rest_final,0.204372117047998,-9.73658967775672,-0.115387258731621,0.204372844580921,-9.73658966042447,-0.115387185444461,1.95648849828924,0.0355191680891132,4.58239167810973,1.47245666547375
4409,76.3255002,rest_final,0.214234863087147,-9.73949255022457,-0.102501594275037,0.214230165641226,-9.73949243717611,-0.102505446190289,2.19967169569525,0.0322421981926151,4.68241880681541,1.65558872159877
4410,76.3414357,rest_final,0.185651898601677,-9.74172311153399,-0.131614091875107,0.185654467813571,-9.74172306117518,-0.131611099561637,2.36921898479674,0.0297744619558324,4.77928467465876,1.50788204510317
4411,76.3577357,rest_final,0.167590726465022,-9.7387225803583,-0.127266075946781,0.167604328235658,-9.73872283507469,-0.127270830791156,2.59514512691006,0.0327535064754801,4.33392665053727,1.5104615786289
4412,76.3803292,rest_final,0.178446941428912,-9.73732278179463,-0.109795779674629,0.178424738341141,-9.73732254219104,-0.109840102316409,2.54600810229278,0.0361904243644805,4.2855772097382,1.51351962466675
